boid_id,R,G,B
0,0,0,0
1,0,0,1
2,0,0,2
3,0,0,3
4,0,0,4
5,0,0,5
6,0,0,6
7,0,0,7
8,0,1,0
9,0,1,1
10,0,1,2
11,0,1,3
12,0,1,4
13,0,1,5
14,0,1,6
15,0,1,7
16,0,2,0
17,0,2,1
18,0,2,2
19,0,2,3
20,0,2,4
21,0,2,5
22,0,2,6
23,0,2,7
24,0,3,0
25,0,3,1
26,0,3,2
27,0,3,3
28,0,3,4
29,0,3,5
30,0,3,6
31,0,3,7
32,1,0,0
33,1,0,1
34,1,0,2
35,1,0,3
36,1,0,4
37,1,0,5
38,1,0,6
39,1,0,7
40,1,1,0
41,1,1,1
42,1,1,2
43,1,1,3
44,1,1,4
45,1,1,5
46,1,1,6
47,1,1,7
48,1,2,0
49,1,2,1
50,1,2,2
51,1,2,3
52,1,2,4
53,1,2,5
54,1,2,6
55,1,2,7
56,1,3,0
57,1,3,1
58,1,3,2
59,1,3,3
60,1,3,4
61,1,3,5
62,1,3,6
63,1,3,7
64,2,0,0
65,2,0,1
66,2,0,2
67,2,0,3
68,2,0,4
69,2,0,5
70,2,0,6
71,2,0,7
72,2,1,0
73,2,1,1
74,2,1,2
75,2,1,3
76,2,1,4
77,2,1,5
78,2,1,6
79,2,1,7
80,2,2,0
81,2,2,1
82,2,2,2
83,2,2,3
84,2,2,4
85,2,2,5
86,2,2,6
87,2,2,7
88,2,3,0
89,2,3,1
90,2,3,2
91,2,3,3
92,2,3,4
93,2,3,5
94,2,3,6
95,2,3,7
96,3,0,0
97,3,0,1
98,3,0,2
99,3,0,3
100,3,0,4
101,3,0,5
102,3,0,6
103,3,0,7
104,3,1,0
105,3,1,1
106,3,1,2
107,3,1,3
108,3,1,4
109,3,1,5
110,3,1,6
111,3,1,7
112,3,2,0
113,3,2,1
114,3,2,2
115,3,2,3
116,3,2,4
117,3,2,5
118,3,2,6
119,3,2,7
120,3,3,0
121,3,3,1
122,3,3,2
123,3,3,3
124,3,3,4
125,3,3,5
126,3,3,6
127,3,3,7
128,4,0,0
129,4,0,1
130,4,0,2
131,4,0,3
132,4,0,4
133,4,0,5
134,4,0,6
135,4,0,7
136,4,1,0
137,4,1,1
138,4,1,2
139,4,1,3
140,4,1,4
141,4,1,5
142,4,1,6
143,4,1,7
144,4,2,0
145,4,2,1
146,4,2,2
147,4,2,3
148,4,2,4
149,4,2,5
150,4,2,6
151,4,2,7
152,4,3,0
153,4,3,1
154,4,3,2
155,4,3,3
156,4,3,4
157,4,3,5
158,4,3,6
159,4,3,7
160,5,0,0
161,5,0,1
162,5,0,2
163,5,0,3
164,5,0,4
165,5,0,5
166,5,0,6
167,5,0,7
168,5,1,0
169,5,1,1
170,5,1,2
171,5,1,3
172,5,1,4
173,5,1,5
174,5,1,6
175,5,1,7
176,5,2,0
177,5,2,1
178,5,2,2
179,5,2,3
180,5,2,4
181,5,2,5
182,5,2,6
183,5,2,7
184,5,3,0
185,5,3,1
186,5,3,2
187,5,3,3
188,5,3,4
189,5,3,5
190,5,3,6
191,5,3,7
192,6,0,0
193,6,0,1
194,6,0,2
195,6,0,3
196,6,0,4
197,6,0,5
198,6,0,6
199,6,0,7
200,6,1,0
201,6,1,1
202,6,1,2
203,6,1,3
204,6,1,4
205,6,1,5
206,6,1,6
207,6,1,7
208,6,2,0
209,6,2,1
210,6,2,2
211,6,2,3
212,6,2,4
213,6,2,5
214,6,2,6
215,6,2,7
216,6,3,0
217,6,3,1
218,6,3,2
219,6,3,3
220,6,3,4
221,6,3,5
222,6,3,6
223,6,3,7
224,7,0,0
225,7,0,1
226,7,0,2
227,7,0,3
228,7,0,4
229,7,0,5
230,7,0,6
231,7,0,7
232,7,1,0
233,7,1,1
234,7,1,2
235,7,1,3
236,7,1,4
237,7,1,5
238,7,1,6
